komentar,sentiment
"Update yg skrng banyak masalah di server , nyari match pun gagal servernya down , sinyal bagus ping masi tinggi , tolong segera di pic masalah seperti ini",neutral
"Server sering down, belom lagi sinyalnya naik turun, sering frame drop. Untuk kedepannya mohon lebih di perbaiki lagi karena masih terdapat banyak bug",negative
"Hay selamat siang semuanya all Saya kasih bintang4 dulu ni soalnya sya baru coba"" memang sih game ini keren dn mantul gaes jadi klo kalian mau main game ini aja gk ngesel kok kalian untuk main game yg sangat kece ini segera download jagn sampai ketinggalan ok👍🏻👌🏻👌🏻 Em game ini enak untuk di mainkan GK ngebosenin tapi kalau sedang di mainkan bisa keluar sendiri itu knp ya ..",positive
"Bangkeh ini permainan mengunduh sumber daya saja membutuhkan waktu sangat lama dalam kondisi jaringan normal, apaan ada sumber daya segalah kalau harus tetap kalah, sangat aneh pihak mengembang game PUBG untuk akhir² ini",neutral
"Abis update sinyal makin buruk,jadi males maen, Tolong dong perbaiki seperti semula. Sebeluum update sinyal baik2 saja. Sekarang setelah update kok jaringannya jadi rusak.",negative
Akun saya tidak bisa masuk sudah ajukan banding sudah top up bnyk smpai berjuta2 tpi tidak bisa balik. Saya top up resmi di pubg. Sehari bisa msuk doang aku banding stelah mau aku banding lgi di kasih peringatan tidak bisa aku banding lgi,negative
Developer tolong gak waras ini sumpah masa gua udah ada di lobi malah ngeleg terus keluar terus yang waras lah gak ngotak lu gua Abis 3GB kuota gua cuman buat update PUBG Ama donlod data grafiknya doang cape hati yang ada gua benerinnnnnnn cepatt!!!!!!!!!🤬🤬😮‍💨😮‍💨,negative
game nya ngga jelas masa pas udah download di suruh download data nunggunya lama lagi ngga kek dulu masuk login tinggal maen kalo sekarang disuruh download data mending dikit ini mah banyak udah selesai download data pas mau maen lagi du suruh lagi gamenya ngga asik,negative
"Bug nya tolong di perbaiki kemaren data nya hilang jadi terpaksa download lagi eh sekarang malah hilang lagi padahal ga update sama sekali, jadi tolong di perbaiki🙏",neutral
Tencent Game kenapa sih susah amat dapat senjata terbaru itu njeeng....Orang orang disana Hoki Dapatin senjata terbaru itu....sedangkan saya gak dapat njeeng...Padahal Saya mengeluarkan 7000UC...Tapi Saya gak dapat dapat senjata terbaru itu dan Dapat nya Zonk semua njiiirrlahh 😡😡,negative
Setelah Update versi 3.5.0 frame rate semakin turun. Objek tambah tidak jelas. Tolong di perbaiki grafiknya seperti event kemarin,negative
Sejak update frost apalah makin banyak bug bermunculan terutama dsn yg fatal pas akhir zona gk tau knp zona gk jalan tapi tiba2 kena damage ama zonanya dan itu ngerugiin bet pdhl sinyal lancar semoga cepet2 di perbaiki dah,positive
Semenjak adanya 120fps yang dibawah 60fps terasa sangat dirugikan Tolong lah jangan mementingkan keuntungan semata yang ingin bermain juga harus dipentingkan Jelas jelas yang punya duit yang berkuasa dibanding kan yang punya skill di kesampingkan,negative
"Makin ksni makin parah ,, pas main tiba2 kayak berenti sendiri dan itu sering bangettt ,, kayak kaset CD jadul yg macet persis ,, kadang kluar sendiri hadehhhhh Buat kalian yg blm dwnload mending jangan Astaga makin bener2222 parah tiba2 kayak hang kluar sendiri dan pas lg seru2nua gk bisa kembali masuk aneh pdhl signal full bagus Tancent perbaiki lg ya ,,game makin busuk",negative
"Saya sangat suka dengan game ini, menyenangkan banyak tantangannya, dengan skin² yg bagus dri skin baju sampai senjatanya keren abis, minusnya cuma agak mahal sih",positive
selalu update stiap hbis season. ini yg membuat malas main. udalah data tidak sedikit. main 1 gb an. ancor laa pubg ni. stiap season update mulu. . tolong donk. mkin gak kuat data dan HP saya. jangan sedikit² update. saya kasik bintang 2,negative
Buat tim PUBG untuk update jangan menggunakan data yang terlalu besar sebab bagi yang area susah jaringan mereka akan menunggu lama. Dan memori hp mereka akan terkuras.jadi sebelum game di tinggalkan banyak orang perhatikan itu,positive
tolong dong bug nya di perbaiki lagi ..masih sering nge bug suara ..GK bisa open mic...kita open mic teman GK bisa dengar kut ngomong...padahal headsetnya bagus...🤦,neutral
"Ini adalah game pertama saya yang paling seru dan menantang dari semua game mobile yang pernah saya mainkan, saya harap pubg bisa bertahan dan terus berkembang hingga ke depan nya nanti. Keep strong for developer 💪💪",positive
"Setiap ganti akun email recaptcha berulang-ulang,, perangnya sama puzzle captcha, bikin habis baterai,,dan lagi² setiap mw ganti akun slalu perang dengan recaptcha berulang²,, gak ada solusinya sama sekali",negative
"Ini permainan gimana sih, habis update enak enak main kluar sendiri, masuk lagi trus macet, tolonglaaaaaaah kepada pihak yang membuat game ini di benahi suka macet sendiri ini permainan, jgn sampai ganti permainan lainya,",negative
"Developer pubg mobile plis lah Napa makin ada evend makin berat ini, Blom lagi kalian sudah membuat bot ai' nya makin banyak untuk tiyer tertentu 2 oke lah ini sampe 4 sekali nyerang saya lebih suka cara biasa devlover pubg kita berasa kaya maksa untuk ngejer rank bukan Hedfun lagi. 1 lagi Napa tiap ketemu musuh atau bot karakter susah gerak atau kaya ngelek Pliss aku suka games ini dari dulu udah 2 tahun tapi kok gini sih 🙏🏻🙏🏻🙏🏻🥺🥺🥺😭😭😭❤️❤️❤️Fii͜͡メ Ini nama games saya plisss",positive
Saya login pakai fb biasanya langsung masuk ke permainan . Sekarang login pakai fb hanya fb aja yg ke buka .. Masuk ke game nya tidak bisa .. Masalah nya apa ini,positive
"Ada bug di saat turun di event.tapi keren banyak pakaian & senjata gratis.next semoga harga uc nya turun, soalnya mahal banget",positive
"update baru makin banyak bug, dari mulai bug map posisi kita gaada di map, dan bug gyro yang terbalik",negative
"Pemainan nya sih extreme dan cool..akan tetapi kenapa selalu dalam 0,5 detik selalu main bug nya selalu datang.....coba di urus dlu dong....terima kasih pubg,suda selalu setia bersama kami semua...keren....",positive
"knp skrng kalau maen di map livik atau erangel biasa,kebanyakan musuhnya full bot,malahan lmyan serung juga ketemu full map livik isinya bot semua,untuk matchmakingnya mohon di perbaiki yah biar seru jdi g lawan bot trus bosen",negative
Dari 2018 smpe ini mainnya masih pubg soalnya lebih seru aja kalau bole ivetnya jangan yg memberatkann hp biar rame juga kek dulu skrang ma hp di kisaran 3-4jtan baru mainn pubg enak dan ngfremnya kurang. itu aja sih,positive
"Sangat bagus dan baik,tapi setelah saya update event 3.5 kenapa rank saya tidak menurun tetap di rank yang sama ini bug atau apa,selebihnya game ini sudah bagus",positive
"Dev, kalo bisa ukuran Resources packnya yang rendah, itu di buat kecil aja ukurannya, jangan sampe 1 GBan gitu, kasihan yang lagi ngehemat kuota😢",negative
Saya download data ulang kok penyimpanan masih banyak tapi tidak bisa download data ulang gimana tolong di perbaiki secepat mungkin sebelum event habis,positive
"Kebanyakan Download, setiap Update Download setiap turun season Download, login ulang download lagi, grafik download lagi, map Download lagi. Anehnya udh ada fitur pilihan download dan udh disetting tidak download otomatis tetep aja Download lagi, terus aja Download nyet...",negative
jadi kesimpulannya tiap update event harus download resource grafik lagi ? Terus resource grafik kan sama yang hanya nambah kan file event grafik kan gak berubah² gitu² aja,neutral
"Selalu ada bug, size semakin besar, cheater juga masih bebas, pubgm sekarang semakin membosankan. Aturan match terkadang tidak berimbang.",neutral
Ini cari musuh nya lama matchmaking lama banget kek ngak ada yang main benerin lah aku mau main aja harus aku tunggu Bahkan main sama ai aja lama ini developer gamenya jadi sepi apa gimana,negative
"Ok lah ada fitur report bug, tapi apakah DIPERBAIKI BENERAN, tolong lah bang dev udah banyak fitur dari game developer seperti unity dan lain yang bisa ngurangi FPS drop. JANGAN UTAMAKAN SKIN TAPI UTAMAKAN KUALITAS GAME NYA DONG BANG...... ASTGAAA.... masak masalah nya FPS Drop mulu dah. Kalo ada cheater TOLONG DI BLOK DONG, INI PERMASALAHAN SERIUS BANG",negative
Setelah sama invinite game ini di buat buat org yg ram hpnya di atas 4.. akk aja ram 8 suka lag dan cepet panas... Kecewa sih... Apa lagi sekarang banyak cheater udd senjata kaya sultan trus tau musuh di mana damage aja GK ngotak... Giliran pemain biasa laporin GK ada tuh yg namanya di band.. padahal jls2 kita juga liatin dia sampai akhir.. ada yg mobilnya GK bisa di pecahin ban nya... Tp giliran pemain yg GK topup kil 8 di tempat di band..... Sungguh kecewa... Akun saya 3 yg di band..,positive
Setelah update saya tidak bisa bermain lagi karena server error mulu ngabisin kuota aja. Banyak bug. Saran pada teman yang lain kalo kuota pas pasan jgn fi update,negative
"Selalu terganggu dengan nama tempat event yg menghalangi penglihatan saat turun dari pesawat, kalau bisa nama tempat evennya jangan terlalu besar atau di buat agak transpafan aja",positive
"Game aneh kenapa sering kali awal main sinyal baik² saja tapi kalau sudah mau zona kecil ketemu musuh pasti langsung ng lag gak jelas, kalau penjelasan kalian juga gak jelas asli gua hujat dan gua hapus game ini",negative
"Setiap kali saya bermain kenapa musuhnya sangat kuat?... Padahal saya baru bermain lagi setelah 1 tahun yang lalu saya pensi. Dulu musuhnya tidak sekuat sekarang, mau belajar bermain lagi jadi susah.",positive
Pubg. Kenapa susah amat dah naikin level home di level 27 ke atas padahal seru ngebangun tapi susah di level 27 ke atas nya tolong lah agak di permudah sedikit 🙏,negative
Game nya bagus banget grafik nya juga bagus memanjakan mata ga kaya game sebelah udh namanya MAX tpi grafik nya kaya mem canda wkwk pokoknya ni game seru banget kalo solo ya,positive
"Tolong di perketatkan lagi tentang chter"" ... Atu di otomatiskan gak bisa ditambah aplikasi lain dan konfig dll... Kami rugi sebagi pemain bersih!",positive
gatellllllll.....tiap abis di UP selalu gak bisa login jangan suruh periksa jaringan deh... jaringan internet bagus tetep gak bisa login.... kebanyakn even gak jelas...mendingan kayak dulu enak dimainkan...,negative
Ini gimana ini kok saya download game dan udah gue download seluruh datanya tapi besoknya disuruh di dwonload lagi berat pula downloadannya ini gimana tolong jangan berat berat yah buat newbie kasihan baru download sudah dihadapkan dengan downloadan besar besarr buat devoleper plis tanggapi secepetnya,negative
"Bug nya banyak banget di update ini Gk ngerti lagi dah ma pemegang apk ini, gk jelas kalo gk siap mending gk usah update, nurunin kd aja, masa mau nembak tiba tiba jadi tap-tap, mati lah",negative
Update event halloween terbaik saya juga sangat menantikan event winter yg akan datang karena dri semua event di pubg yg paling seru event halloween dan winter..,positive
Apalah game rusak di-update seharusnya bener gada bug malah nambah parah bug sinyal ngeleg Mulu tembus tanah bner2 game rusak percuma ku pertahanin ini game selama 4 tahun dipacth sekarang nambah parah,negative
"Teruntuk pubg sekalian aja hapus itu bom ama molotov di tier atas gw gk sering gk sengaja pakai bom maupun molotov disaat bersalaman kena teman dan akhirnya gw kena ban , tolong perbaiki sistem nya mana yg feed dan mana yg gk sengaja, bangke",negative
"Selalu update kasih bintang 2aja Perlu perbaikan lagi,di setiap bug nya sangat mengecewakan Dan makin kesini makin tidak memuaskan sangat sangat mengecewakan",negative
"Game ini bagus banget ada grafik nya ada shader nya.... Tapi ada satu bug yang bikin repot ya itu bug tidak bisa gerakin mobill dan juga ada bug lainnya, seperti bug karakter tidak bisa jalan, dan bom yang tidak bisa meledak, dan mobil terbang sendiri, dan frame drop parah, dan lainnya, mohon di segera di perbaiki ya infinite level. Udah gitu aja terima kasih.😁🙏",positive
"sangat berat bug dan lain lain,, saya rasa semakin update semakin sulit karena butuh ponsel yang mempuni dalam bermain.. pastinya player lebih memilih mobile legend tidak terlalu berat utk ponsel yg ram dan sistem yang minim",negative
"Kenapa analog selalu nyangkut sih di arahin ke kanan tetap belok kiri, masa awalnya emng belok kiri pas dibanting ke kanan malah jalan kaya bot trus masih ke arah kiri lagi aneh bnget dah njg",negative
Sangat seru dan keren the best dah 👍👍👍tapi ada yang kurang tolong tambahin lagi seperti di game battle royale lain ada hujannya biar pengalaman bermain semakin bagus sama tolong dong kembalikan mode zombie seperti dulu lagi please,positive
"Assalamualaikum wr wb, untuk game nya udah bagus tapi saya mengalami satu gejala pas mau bermain pada saat gameplay nya 65% gamenya lama masuk trus tiba""keluar bukan cuma sekali tapi keseringan ,untuk gamenya tolong diperbaikin lagi min",positive
"Buat yg sering bug atau sering keluar dari apk ini, minimal pakai hp ram 6, ram 4 udah mulai ga karuan buat maen game ini pasti lag dan sering keluar sendiri atau bug grafik Kalo ram 4 mending maen epep grafik udh HD prah wkwkk",positive
"Sekarang banyak bug ya bukannya di fix malah nambah event terusss!!! Bugnya sangat merugikan player yg bermain dari banyak Bug audio tiba tiba suara senjata,step,mobil hilang sendiri entah ke mana terus bug mic dari dulu sampe sekarang ga pernah di fix yaampun PUBG please lahhhh",negative
"game ga jelas, nguras kuota, tiap akhir season update terus, mana gede""update nya, udh gitu harus unduh ulang data game yang udh di unduh, GAME RUSAKKKKK",negative
"Bagus banget,cuman ad dikit bug di event sekarang sering kembali sendiri padahal penyimpanan udh di kosongkan masih aj kembali,tapi tetap oky deh pubg your the best",positive
"VSS buff,bisa ganti scope kalau ga damage jarak tambahin,sama tolong servernya pilih yang lancar gapapa lama yang penting nembak musuh ga tembus",positive
"Untuk gameplay bagus sih sebenarnya. Cuman masalah nya kita yg baru main ini kesulitan beradaptasi apalagi kalau saat match yg tier tinggi atau pro player di jadiin satu sama yg newbie. Yaa kalau di satu squad tersebut ada pro player nya jadi adalah gendongan sedikit. Lah ini player sama² newbie di suguhi sama pro player. Memang harus ada skil, cuma Yaa namanya juga baru main kan butuh adaptasi tuh semoga aja sih kedepannya ada server khusus untuk tier² yg setara sama yg newbie.",negative
"game nya sulit si lumayan, tapi grafiknya enak, terus bisa buat ngisi waktu luang, apalagi PUBG LEBIHmenegangkan daripada game tembak tembakan yang lain, untuk sekelas Esport's si🙏🙏🙏🇲🇨🥰",positive
Saya memakai device POCO F5 12/256 dengan chipset SnapDragon 7+ Gen 2 untuk Pengoptimalan FPS kurang baik di game ini. Terutama di MAP Livik seperti drop FPS / kurang stabil saja di Android 14 ke atas. Tolong optimalkan FPS di semua MAP/Peta agar player dapat kenyamanan saat berperang!,neutral
"Bug yang cukup parah,tampilan karakter yang tidak normal,gagal terhubung kedalam game,saat di di dalam game gambar menyangkut""gambar tidak normal grafik smuterpe extrime gambar cukup parah karakter dan grafik frem game ketika bertemu musuh cukup parah, pat angkat yang saya gunakan redmi not 8 pro (ram 6/128),cukup parah bug,dan respon karakter dan grafik sangan tidak nyaman dalam bermain",negative
Update lagi nih pengalaman bermainku. Semenjak update event bloodmoon kenapa jadi sering frame sih. Padahal baru main sekali dua kali match tapi tiba tiba frame parah apa lagi kalo pas ada musuh yang berubah jadi serigala/vampir. Emang gejalas ni developernya. Benerin cepet woi krafton. Kalo kayak gini makin banyak yang gk puas ama performa gameplay PUBG. Kalo update sebelum rilis koreksi lagi lah ada kekurangan apa gk. Sumpah bikin ga puas main aja!!!,negative
"Halo Developer, Saya memiliki salah satu kekurangan ketika bermain, yang paling utama adalah Sound ingame/battlematch terdengar sangat pelan (mau itu suara jejak kaki, suara tembakan, dsb) ,Tetapi ketika kembali ke loby soundnya mulai normal (Musik background, Suara UI, Dsb), dan ini yang paling mengganggu kenyamanan player, Ketika mau start macth volume hp otomatis saya naikkan, dan ketika kembali ke loby otomatis juga volume saya kecilkan. Tolong segera ditanggapi keluhannya ya say🌝",negative
"Developer yg terhormat, saya main pubg dari season 2. Saya menggunakan device yg kompatibel untuk pubg, bisa di bilang harusnya cukup ringan untuk menjalankan PUBG. Tapi kenapa FPS selalu ngedrop tiba2, drop yg gak wajar jadi mengurangi kesenangan bermain. Support 120fps itupun saya pasang cuman 90fps tapi tetap masih sering terjadi frame drop",negative
"Untuk sekarang bener² parah, karna banyak player yang menggunakan config/cheat bermain curang, mereka bisa melewati tencent protect, untuk melakukan itu, sehingga musuh² sangat berat untuk kita lawan, saya sudah mereport pemain tersebut tidak ada sangsi apapun,ini sangat² menganggu saya yang bermain normal, tolong untuk developer meningkatkan keamanannya karna dari dulu saya bermain pubg cuma baru² ini menemukan musuh yang gak normal dan itu sangatlah banyak,mereka main curang itu beli cheat/VIP",neutral
"Masih banyak permasalahan terhadap Fps, mungkin bisa jd masukan sedikit, (bagaimana jika pemain dapat mengatur batasan Fps sebelum memulai match klasik, yakni seperti pemilihan grafik, dimana player akan di kelompok kan menjadi 2, 40-90fps & 90-120fps, tapi jika di dlm team ada rekan yang 120fps, maka pemain bisa ikut serta dalam pertandingan,,,hanya saran untuk lebih baik lg kedepannya, sukses & maju terus Pubg mobile Indonesia",positive
"Tiap update harus download lgi data semua knp gk yg d update nya ajh yg d download klo gni cara nya kan malah memperbesar penyimpanan d tambah lgi kuota cepet abis pke update yg gk ada otak, di kira beli kuota gampang kasian orng² yg pengen kuota 1gb ajh susah nya minta ampun bnting tulang",negative
"Untuk update terbarunya sedikit ada bermasalah, saya tidak tau apakah ini bug atau bukan karena turun di event dan bar-bar tidak frame drop, tapi pada saat di rush hanya sedikit player saja malah frame drop parah padahal HP saya masih tidak low divice, saya harap kepada pihak krafton tolong di tinjau lagi dengan cermat, sekian terima kasih.",neutral
Sangat suka dengan event yang skrng. Tapi masih mengalami bug dari event kemarin sampai skrng masih mengalami bug. Bugnya apa bang messi.? Bug nya tidak bisa geser kamera dan itu harus di relog sampai 2-3x relog baru bisa normal lagi😌. Tolong diperbaiki ya bugnya.,positive
"Kami setiap update itu cukup banyak kuota lo, tpi knp sampe sekrang malah tambah parah nih hilangnya koneksi gak jelas begini.. Paket kuota ful jaringan bagus tapi knp koneksi hilang. Dan ketika keluar tdak ada lagi pilihan masuk pertempuran lagi... Knp harus se tolol itu sih",negative
"Mohon maaf nih developer, ini kenapa ya setiap saya mau main, belakangan ini selalu keluar dari match/di tendang keluar? ini bukan sekali dua kali, tapi sering bngt.",neutral
"Udh bgus smuanya minesnya di mode bangun rumah aj material, furniture dan cat di bikin bnyak lgi biar bhn nya gak itu itu aj tolong di perbnyk lgi kaya minicraft lenkap jan nanggung 🙏🙏, Satu lgi buat update terbru ini knp hampir klau dri 1-10 nilai bug nya 9 terlalu bnyk tolong di perbaiki skian wasalam",positive
Hallo developer. Untuk setelah update ini telah terjadi banyak bug seperti saat prone gak bisa digeser dan bagian atas luar kastil tidak bisa ditempati dan kalo sudah turun disitu maka gak bisa keluar dan hanya bisa prone.. Jadi tolong segera diperbaiki karena sangat menggangu kenyamanan bermain,positive
saya bermain pubg selalu mendapatkan dan mengalami hal yang tidak kompetitif saat berada di.dalam pertempuran. bagaimana tindakan level infinite dengan hal seperti ini? jangan hanya memberikan respon bagi para player. namun berikan solusi terbaik untuk masalah seperti ini. karna kami para player lah yang membuat game anda ( level imfinite) menjadi berkembang dan menghasilkan uang untuk anda (level infinite),negative
"Udah habis banyak UC tp gak dikasih skin senjata yg bisa di upgrade, skin mobil dll..agak sedikit merasa kecewa dgn red zone, klo bisa dihilangin, trus knpa setiap ganti sesion selalu Update melebihi 1 GB yg membuat semakin berat di HP ?",neutral
"Kenapa selalu lag parah saat zona zona terakhir, ketika musuh sisa sekitar 10 orang? Padahal awal turun masih relatif aman, ini sangat sangat mengganggu kenyamanan bermain, tolong segera di fix. Thanks",negative
"Terlalu banyak event yang nyeleneh,saya main dari 2018 kok makin kesini malah makin gak real game nya,padahal pada season awal2 dulu game nya sasik banget, Menurut saya alasan makin banyak yang berhenti main mungkin gara2 terlalu banyak nya event yang gak masuk akal itu. Tapi diluar itu semua saya suka game ini terutama yang mode klasik,sukses terus PUBG",positive
jaringan ngg stabil Kalau udh masuk ke pertemuan tiba2 Eror loading trus sampai mati 😅😅 Lucu ya padahal jaringan sama spesifikasi hp udh bagus lebih parah lagi udah bayar po royal pass eh malah ngg bisa buka royal pas padahal udah bayar maling maling,negative
Sekian lama main pubg season2 yg lalu pas balik main lagi sekarang malah bnyak bot di tambah lagi tidak ada partian. Lbh enakan main Mobile Legends seru partian lagi,negative
"Semenjak update 3.4 setiap ada pesawat, smoke, dan zona mulai mengecil selalu frame drop, dan termasuk frame drop parah bisa sampai 5 fps, tidak playable, tolong diperbaiki segera karena sangat berpengaruh terhadap kelancaran permainan🙏",negative
Bug semakin banyak... Apa lagi sekarang yang paling meresahkan itu adalah gk bisa masuk ke de dalam game pertempuran...kebanyak nyangkut dan gak bsa masuk lgi masuk ke pertempuran.. Tolong la di perbaiki demi kenyaman pemain...,negative
Izin buat pubg tolong dong kalo apdet map yg tidak ada perubahan d iven jngan donload ulang mulu sudah donload lembed ngabisi data yg gak pakai wi-fi tolong miramar sudah gede data tambah donload trus,neutral
"Bukannya bagus malah jadi buruk optimasinya, sering banget mengalami frame drop saat sedang head to head ataupun sedang ada dalam jangkauan terdapat musuh, berbanding terbalik dengan season kemaren yang masih lancar untuk dimainkan",negative
"Kenapa kalo udah masuk di game , selalu keluar terus ada notif periksa koneksi jaringan server anda, padahal udh update, harap di balas",positive
"Tiap update eventnya saya suka, tapi tiap update skin selalu menghilang tanpa alasan yg jelas. Tapi secara grafis saya sangat suka sekali.",neutral
"Tolong dong krafton perbaiki game nya, masa iya setiap late game ngeframe terus padahal baru login, saya pikir awalnya cuman saya yg ngeframe ternyata banyak juga yg sama kaya saya setiap late game pasti ngeframe, kalo kaya gini terus jadi kaga seru lagi pubg sekarang",negative
"Tolong dong di event yg baru sekarng kenapa frame dropnya makin parah, gw user android yg padahal batre sama jaringan ku bagus, device jg mumpuni tp tetap aja frame drop.. Parah ini !!! Gw maen udah 6 tahun tapi ini paling parah semenjak bukan tencent lagi developernya !",neutral
"Setiap bermain event atau biasa sering ada kendala bug, saat mau loting bug semua bug tolong di perbaiki, waktu itu biasa aja tidak ada kendala, tetapi saat update bug senjata tidak bisa reload, backpack tidak ada senjata, saat mau loot suka bug berulang ulang,",positive
"Tolong diperbaiki peti premium sama peti classic dan peti suplainya setiap gacha 10 creat, hasilnya hanya sampah,banyak item yang sudah di dapat malah dapat lagi kan sia sia karena susah ngumpulin semua creat nya, tolong perbaiki juga masalah jaringannya saat di loby ping nya 20,dan di in game malah naik jadi 200 ms Tolong ya, sukses terus pubg",positive
"Parah ini game sekarang makin lama makin jelek kadang"" Keluar sendiri pas ada mush banyak eh malah kluar sendiri dari game kadang"" Malah gak bisa masuk pertempuran padahal sinyal bagus min tolong dong di perbaiki biar lebih nyaman main gamenya makin lama makin jelek sinyal bagus eh malah ngeleg pantesan pemain sekarang pada berhenti main ternyata makin lama server makin jelek",negative
"Game terbaik sepanjang masa, buat developer, kalau bisa buat maps yang mirip di dunia nyata, maksudnya buat maps/peta misalnya salah satu daerah yang ada di dunia, dimanapun itu supaya suatu saan kami para player bisa jalan2 ketempat itu secara langsung. Dan menurut saya, hanya 1 kekurangan game ini, yaitu tidak bisa mode offline, sedikit masukan untuk developer, alangkah baiknya jika mode offline ada, misal, tdm, mode training, agar kami para player yang minim/susah jaringan bisa memainkannya.",positive
gem ini bikin kessel selalu tak ada koneksi padahal jaringan wifi bagus klo player udah mati baru jaringan lancar belum pernah aku merasa puas main dgn gem ini maaf klo bintangnya cuma dua kalau masalah itu bisa diperbaiki baru aku kasih bintang lima,negative
"saat pertandingan selalu dapat lawan yg tidak seimbang , selalu dapat lawan yg meritnya tinggi"" dengan merit 100 gold , dan juga saat kita dapat poin cenderung sedikit sekali tambahannya sedangkan saat kehilangan merit sangat sangat banyak sekali berkurang nya dan terasa tidak berarti.",neutral
"Padahal wifi , data seluler kenceng buat buka aplikasi lain lancar , masuk lobby 60ms eh in game nya bisa 616ms , tidak nyaman sama sekali , device mendukung , data seluler mendukung , kenapa pas in game bisa di atas 600ms , tidak saya saja , teman teman saya juga begitu",negative
"Min permisi kenapa ini terjadi bug sesudah update event yang sekarang, seperti tulisan start match 25 dan tulisan tersebut tidak hilang pada saat gameplay (intinya tulisan yang seharus nya di in game saat menunggu pesawat itu hilang, tetapi saat gameplay dimulai tulisan di loby tersebut tidak hilang, tolong sekali penjelasan nya",positive
"Ayolah pubgm, skrng banyak banget bug, itu sangat mengecewakan!!! Looting gk kelihatan,barang looting gk bisa dibuang, pemain dan kill tidak kelihatan,suara senjata dan step gk ada dan masih banyak yg lain, jadi tolonglah dibaca, saya udh main dari 2018 loh, ini sungguh sangat mengecewakan!!!",negative
"PERINGATAN TEGAS BUAT PUBG MOBILE!!! saya merasa tidak nyaman dengan beberapa fitur game yang mengakibatkan patah patah flame dengan sering terjadi jaringan LAG. Saya main PUBG dari awal season! Selama saya main dari 2018 sampai sekarang banyak perubahan yang menurut saya tidak nyaman. Sekiranya pengaturan yang tidak penting harap di hapus. UTAMAKAN KENYAMANAN PLAYER, Karna tidak semua player memiliki kualitas hand phone yang mendukung!!! Salam Hormat SeriusRC",positive
"Mengapa untuk update kali ini sangat tidak jelas -Event dragon: saat memasuki dragon lairs tidak menemukan jalan ke tempat dragon, dibuat berputar putar di dalam lorong, dan tiba-tiba waktu habis padahal belum melawan dragon -Tidak ada respawn card, semakin berat tapi malah membuat permainan menjadi tidak seru seperti event bloodmoon kemarin - mengapa fitur highlight di hasil karier dihilangkan - UI semakin buruk",negative
Saya kasih bintang 3 karan updatean sekarang bnyak bug dan frem kaga jelas. Padahal seblm nya saya maen lancar² saja tolong di perbaiki. Apa lagi pas nabrak musuh di zona terakhir frem nya parah banget bug nya nambah parah. Tolong perbaiki. Biar orng² yg maen pubg bisa rame lagi kaya dulu🙏,neutral
"Anti kecurangan sangat tidak berfungsi,buktinya banyak kecurangan yg tidak terdeteksi.ada yg tahan damage hal yg saya temui seperti itu SDH sering,tapi tidak ada respon laporan tersebut.nampaknya memang ada orang dalam yg memang berhubungan dgn hal ini.jadi ya percumah saja melaporkan haltersebut.",negative
Makin update makin parah leg dan bug padahal jaringan hijau pluss tapi sangat ngelet jadi sangat menganggu untuk bermain bosan Kalou ngelet teruss soal Ruangan masih ada 30 GB lagi tapi ngelet juga 😫😫😫,negative
"Kenapa Saya Tidak Bisa Masuk, Kalo Acount saya Diblokir kenapa tidak Ada notofokasi kalo pun Ada penyerangan yang kena teman dalam pertempuran seharusnya harus dilihat dan diteliti apakah sengaja atau tidak, jangan asal ambil keputusan, Dasar tidak bisa Liht dan Cuma Andalkn IA Semuanya berantakan, saya Mau hapus dan tidak maun main Lagi Karena PUBG semakin jelek",negative
Force close... Uninstall dulu sementara waktu... Ternyata permasalahan ny gara gara Mode Pengembang di aktifkan.,positive
Saya main pubg dari season 2 sampai sekarang dan sudah beberapa kali ganti device karna mengikuti perkembangan pubg yg makin tinggi.. Harapan saya hanya 1 server user handpone dan tablet/ipad di bedakan karna menurut saya itu sangat berpengaruh dalam gameplay yg tidak seimbang.. Atau setidaknya jarak pandangnya untuk handpone di samakan dengan ipad/tablet..mohon untuk kenyamanan nya tencent terimakasih salam gaming 🙏,positive
"Kenapa udah di UPDATE malah jadi gak bisa buka aplkasinya,, di loby jaringan bagus, pas main lagi war atau ada musuh malah leg.. gimana ini",negative
Knpa pas lagi main gitu truss keluar sendiri dan selalu ngendak² padahal sinyal ya bagus ko tlong di perbaiki biar hp yg android tetap bisa main spt kmarin² sebelum perbaruan,negative
"Saya sangat suka , paling buruk nya server kadang2 suka gak bisa di masukin, kadang tiba2 keluar dri game , padahal kata temen di team saya gak AFK, tapi saya nya di dlm lobi",positive
"Update ke pubgm merto memanglah seru, akan tetapi, setelah update, saya lebih sering mengalami eror pada servernya(server pertandingan tidak merespon), jadi saya tidak bisa bermain dengan sesuka saya, hal itu membuat mood saya akan game ini semakin menurun, tolong Tencent perbaikan di masalah servernya,",neutral
"Dear pubg mobile developer , smartphone yang saya pakai infinix note 30 pro , kenapa kalau masuk selalu aplikasi tidak menanggapi trus , sudah 8 hari terakhir , saya coba hapus data dan lainnya sama saja , padahal server asia , sinya bagus + wifi , tetapi selalu ping di atas 200 , sangat merugikan saat push rank dan metro royal in game",negative
